focal_id,issn_clean,SJR Best Quartile,journal_norm,quartile_mode_15y,quartile_avg_round_15y,quartile_mode_15y_label,quartile_avg_round_15y_label
https://openalex.org/W111725591,03871533,Q3,,4,4,Q4,Q4
https://openalex.org/W115650655,02578972,Q1,,1,1,Q1,Q1
https://openalex.org/W1230367920,03043843,Q3,,3,3,Q3,Q3
https://openalex.org/W126685599,00406031,Q2,,2,2,Q2,Q2
https://openalex.org/W1273617668,14764865,Q3,,3,3,Q3,Q3
https://openalex.org/W131092982,00260673,Q4,,4,4,Q4,Q4
https://openalex.org/W141861281,08327823,Q3,,4,4,Q4,Q4
https://openalex.org/W141872669,15361055,Q3,,3,3,Q3,Q3
https://openalex.org/W1480650256,09254005,Q1,,1,1,Q1,Q1
https://openalex.org/W1482057339,00218979,Q1,,1,1,Q1,Q1
https://openalex.org/W1483293756,12303402,Q3,,3,3,Q3,Q3
https://openalex.org/W1483987581,00134651,Q1,,1,1,Q1,Q1
https://openalex.org/W1485817297,00406090,Q2,,2,2,Q2,Q2
https://openalex.org/W1486697772,00218979,Q1,,1,1,Q1,Q1
https://openalex.org/W1488521373,01679317,Q1,,2,2,Q2,Q2
https://openalex.org/W1488982196,00036951,Q1,,1,1,Q1,Q1
https://openalex.org/W1490539011,07338724,Q1,,1,1,Q1,Q1
https://openalex.org/W1490672357,09532048,Q1,,1,1,Q1,Q1
https://openalex.org/W1492945524,00218979,Q1,,1,1,Q1,Q1
https://openalex.org/W1493994261,16113683,Q3,,2,2,Q2,Q2
https://openalex.org/W1495010771,00486604,Q2,,2,2,Q2,Q2
https://openalex.org/W1495123273,00224596,Q2,,2,2,Q2,Q2
https://openalex.org/W1496312612,07338724,Q1,,1,1,Q1,Q1
https://openalex.org/W1497896443,00150193,Q3,,3,3,Q3,Q3
https://openalex.org/W1498610339,18117295,Q4,,3,3,Q3,Q3
https://openalex.org/W1499262913,09214526,Q2,,2,2,Q2,Q2
https://openalex.org/W1499454265,00036951,Q1,,1,1,Q1,Q1
https://openalex.org/W1499602815,00218979,Q1,,1,1,Q1,Q1
https://openalex.org/W1503244141,10623701,Q3,,4,3,Q4,Q3
https://openalex.org/W1503305456,00295450,Q2,,2,2,Q2,Q2
https://openalex.org/W1503446415,10944087,Q1,,1,1,Q1,Q1
https://openalex.org/W1503942513,00134651,Q1,,1,1,Q1,Q1
https://openalex.org/W1505418608,15361055,Q3,,3,3,Q3,Q3
https://openalex.org/W1510826946,00218979,Q1,,1,1,Q1,Q1
https://openalex.org/W1511364607,00218979,Q1,,1,1,Q1,Q1
https://openalex.org/W1511405423,12303402,Q3,,3,3,Q3,Q3
https://openalex.org/W1513650184,01689002,Q1,,1,1,Q1,Q1
https://openalex.org/W1515241083,00036951,Q1,,1,1,Q1,Q1
https://openalex.org/W1517164421,00406090,Q2,,2,2,Q2,Q2
https://openalex.org/W1518602392,0167577X,Q2,,2,2,Q2,Q2
https://openalex.org/W1522570751,07338724,Q1,,1,1,Q1,Q1
https://openalex.org/W1525556442,10411135,Q1,,1,1,Q1,Q1
https://openalex.org/W1533893802,03048853,Q2,,2,2,Q2,Q2
https://openalex.org/W1534956112,00036951,Q1,,1,1,Q1,Q1
https://openalex.org/W1536489175,07338724,Q1,,1,1,Q1,Q1
https://openalex.org/W1538761425,00036951,Q1,,1,1,Q1,Q1
https://openalex.org/W1540908430,00295922,Q3,,3,3,Q3,Q3
https://openalex.org/W1545402940,10411135,Q1,,1,1,Q1,Q1
https://openalex.org/W1546698136,13886150,Q3,,2,2,Q2,Q2
https://openalex.org/W1548887502,00218979,Q1,,1,1,Q1,Q1
https://openalex.org/W1549208200,00218979,Q1,,1,1,Q1,Q1
https://openalex.org/W1550538508,13886150,Q3,,2,2,Q2,Q2
https://openalex.org/W1550677042,00218979,Q1,,1,1,Q1,Q1
https://openalex.org/W1551579649,10411135,Q1,,1,1,Q1,Q1
https://openalex.org/W1551948290,09254005,Q1,,1,1,Q1,Q1
https://openalex.org/W1554123368,00220248,Q1,,2,2,Q2,Q2
https://openalex.org/W1555990484,00223131,Q3,,3,3,Q3,Q3
https://openalex.org/W1557375754,00036951,Q1,,1,1,Q1,Q1
https://openalex.org/W1557827962,13504487,Q2,,2,2,Q2,Q2
https://openalex.org/W1557833870,00255408,Q2,,2,2,Q2,Q2
https://openalex.org/W1558000723,02670836,Q2,,2,2,Q2,Q2
https://openalex.org/W1560666922,00036951,Q1,,1,1,Q1,Q1
https://openalex.org/W1560716168,01672738,Q1,,1,1,Q1,Q1
https://openalex.org/W1564388064,00223727,Q1,,1,1,Q1,Q1
https://openalex.org/W1564740653,10411135,Q1,,1,1,Q1,Q1
https://openalex.org/W1565299957,00036951,Q1,,1,1,Q1,Q1
https://openalex.org/W1565350176,13861425,Q2,,2,2,Q2,Q2
https://openalex.org/W1568032225,03603199,Q1,,1,1,Q1,Q1
https://openalex.org/W1572684301,00220248,Q1,,2,2,Q2,Q2
https://openalex.org/W1572957767,15361055,Q3,,3,3,Q3,Q3
https://openalex.org/W157342397,16113683,Q3,,2,2,Q2,Q2
https://openalex.org/W1575765717,00134651,Q1,,1,1,Q1,Q1
https://openalex.org/W1576614782,10637788,Q3,,3,3,Q3,Q3
https://openalex.org/W1577834615,0969806X,Q3,,2,2,Q2,Q2
https://openalex.org/W1579106588,00295450,Q2,,2,2,Q2,Q2
