focal_id,issn_clean,SJR Best Quartile
https://openalex.org/W122671926,0270-5214,Q3
https://openalex.org/W127958452,0022-3697,Q2
https://openalex.org/W134252754,0832-7823,Q3
https://openalex.org/W1481578427,0141-1594,Q2
https://openalex.org/W1481894647,0734-2101,Q1
https://openalex.org/W1484223719,0022-2313,Q2
https://openalex.org/W1487783502,0021-8979,Q1
https://openalex.org/W1488186435,0003-6951,Q1
https://openalex.org/W1491327455,0003-6951,Q1
https://openalex.org/W1493392221,0375-9601,Q2
https://openalex.org/W1496893605,0360-3199,Q3
https://openalex.org/W1499585603,0021-8979,Q1
https://openalex.org/W1500063656,0734-2101,Q1
https://openalex.org/W1500387408,0029-5515,Q1
https://openalex.org/W1501323942,0021-4922,-
https://openalex.org/W1503778604,0734-2101,Q1
https://openalex.org/W1504067081,0011-2275,Q2
https://openalex.org/W1504109566,0003-6951,Q1
https://openalex.org/W1506126356,0965-9773,Q1
https://openalex.org/W1507049374,0167-2738,Q1
https://openalex.org/W1508235409,0734-2101,Q1
https://openalex.org/W1513081937,0021-8979,Q1
https://openalex.org/W1514545135,0268-1242,Q1
https://openalex.org/W1517942956,0021-8979,Q1
https://openalex.org/W1518237432,0003-6951,Q1
https://openalex.org/W1519452692,0001-7701,Q2
https://openalex.org/W1523109231,0021-8979,Q1
https://openalex.org/W1524206411,0021-8979,Q1
https://openalex.org/W1530343546,0021-8979,Q1
https://openalex.org/W1531153384,0021-8979,Q1
https://openalex.org/W1531347441,0021-8979,Q1
https://openalex.org/W1533978004,1010-6030,Q2
https://openalex.org/W1535502972,0021-8979,Q1
https://openalex.org/W1543488641,0734-2101,Q1
https://openalex.org/W1546973712,1359-6462,Q1
https://openalex.org/W1551067740,0021-8979,Q1
https://openalex.org/W1552715661,0021-8979,Q1
https://openalex.org/W1554828773,0924-4247,Q2
https://openalex.org/W1556287528,0003-6951,Q1
https://openalex.org/W1556767293,0021-8979,Q1
https://openalex.org/W1557306790,0022-3697,Q2
https://openalex.org/W1561577657,0021-8979,Q1
https://openalex.org/W1561635925,0029-5450,Q3
https://openalex.org/W1561799423,0267-0836,Q1
https://openalex.org/W1561864154,0267-0836,Q1
https://openalex.org/W1563057046,0029-5450,Q3
https://openalex.org/W1564105795,0734-2101,Q1
https://openalex.org/W1573506759,0925-4005,Q1
https://openalex.org/W1574013347,0003-6951,Q1
https://openalex.org/W1575703057,0256-307X,Q3
https://openalex.org/W1577197842,0015-0193,Q3
https://openalex.org/W1581690424,0009-2614,Q1
https://openalex.org/W1597146316,0029-5450,Q3
https://openalex.org/W1597852827,0003-6951,Q1
https://openalex.org/W1598081119,0004-637X,Q1
https://openalex.org/W1601968785,0733-8724,Q1
https://openalex.org/W1602115141,0021-8979,Q1
https://openalex.org/W1605081654,0003-6951,Q1
https://openalex.org/W1605607589,0734-2101,Q1
https://openalex.org/W1605797441,0021-8979,Q1
https://openalex.org/W1607870159,0167-2738,Q1
https://openalex.org/W1612675994,0003-6951,Q1
https://openalex.org/W1615571572,0034-6748,Q1
https://openalex.org/W1616145861,0003-6951,Q1
https://openalex.org/W1617446374,0022-4596,Q1
https://openalex.org/W1620696900,0030-4018,Q1
https://openalex.org/W1621380484,0168-9002,Q1
https://openalex.org/W1622629506,0168-9002,Q1
https://openalex.org/W1630607085,0022-0248,Q1
https://openalex.org/W1632897666,0003-6951,Q1
https://openalex.org/W1633496307,0022-3727,Q1
https://openalex.org/W1636243575,0003-6951,Q1
https://openalex.org/W1637753138,0168-9002,Q1
https://openalex.org/W1638533794,0734-2101,Q1
https://openalex.org/W1639698584,0021-9614,Q2
https://openalex.org/W1640497277,2543-6376,Q3
https://openalex.org/W1642044419,0021-8979,Q1
https://openalex.org/W1643536362,0003-6951,Q1
https://openalex.org/W1644723172,0003-6951,Q1
https://openalex.org/W1644775552,0022-0248,Q1
https://openalex.org/W1647397559,0091-3286,Q1
https://openalex.org/W1651383165,0003-6951,Q1
https://openalex.org/W1652728081,0003-6951,Q1
https://openalex.org/W1655551324,0003-6951,Q1
https://openalex.org/W1658056060,0003-6951,Q1
https://openalex.org/W1662000580,0003-6951,Q1
https://openalex.org/W1666727994,0021-8979,Q1
https://openalex.org/W1668534313,0003-6951,Q1
https://openalex.org/W1671512723,1042-346X,Q2
https://openalex.org/W1671671082,0021-8979,Q1
https://openalex.org/W1672001736,0003-6951,Q1
https://openalex.org/W1672972456,0003-6951,Q1
https://openalex.org/W1673508942,0021-9606,Q1
https://openalex.org/W1682777897,0167-2738,Q1
https://openalex.org/W1727253258,1051-8223,Q1
